mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_taskstime(s);
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GAT;GAT(Greedy);2560;E_1(R_1);25600;5000.100155;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GAT;GAT(GA_count);2529;E_1(R_1);25290;50029.480787;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GAT;GAT(GA_check);2537;E_1(R_1);25370;50029.493897;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GAT_P;GAT_P(Greedy);2549;E_1(R_1);25490;5000.052413;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GAT_P;GAT_P(GA_count);2528;E_1(R_1);25280;50017.543465;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GAT_P;GAT_P(GA_check);2520;E_1(R_1);25200;50017.709426;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;TP;TP[E_1(R_1)];2558;E_1(R_1);25580;5000.134637;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GAT;GAT(Greedy);1319;E_1(R_1);13190;5000.223120;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GAT;GAT(GA_count);1314;E_1(R_1);13140;500759.984716;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GAT;GAT(GA_check);1347;E_1(R_1);13470;500821.406237;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GAT_P;GAT_P(Greedy);1319;E_1(R_1);13190;5000.211477;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GAT_P;GAT_P(GA_count);1377;E_1(R_1);13770;500850.262640;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GAT_P;GAT_P(GA_check);1372;E_1(R_1);13720;500717.361226;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;TP;TP[E_1(R_1)];1286;E_1(R_1);12860;5000.056083;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GAT;GAT(Greedy);1222;E_1(R_1);12220;5003.963696;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GAT;GAT(GA_count);1240;E_1(R_1);12400;5001820.002987;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GAT;GAT(GA_check);1184;E_1(R_1);11840;5001748.853048;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GAT_P;GAT_P(Greedy);1209;E_1(R_1);12090;5004.367616;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GAT_P;GAT_P(GA_count);1284;E_1(R_1);12840;5001820.859941;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GAT_P;GAT_P(GA_check);1279;E_1(R_1);12790;5001802.090702;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;TP;TP[E_1(R_1)];1214;E_1(R_1);12140;5000.104853;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GAT;GAT(Greedy);1179;E_1(R_1);11790;5005.764633;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GAT;GAT(GA_count);1242;E_1(R_1);12420;5001247.971867;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GAT;GAT(GA_check);1198;E_1(R_1);11980;5001226.892265;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GAT_P;GAT_P(Greedy);1241;E_1(R_1);12410;5006.366496;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GAT_P;GAT_P(GA_count);1233;E_1(R_1);12330;5001264.152552;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GAT_P;GAT_P(GA_check);1188;E_1(R_1);11880;5001237.353079;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;TP;TP[E_1(R_1)];1200;E_1(R_1);12000;5000.172570;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GAT;GAT(Greedy);1192;E_1(R_1);11920;5004.121965;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GAT;GAT(GA_count);1240;E_1(R_1);12400;500581.480884;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GAT;GAT(GA_check);1291;E_1(R_1);12910;500581.572905;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GAT_P;GAT_P(Greedy);1256;E_1(R_1);12560;5004.372358;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GAT_P;GAT_P(GA_count);1276;E_1(R_1);12760;500588.490232;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GAT_P;GAT_P(GA_check);1168;E_1(R_1);11680;500589.851291;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;TP;TP[E_1(R_1)];1151;E_1(R_1);11510;5000.217391;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GAT;GAT(Greedy);1172;E_1(R_1);11720;5002.473148;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GAT;GAT(GA_count);1217;E_1(R_1);12170;500307.315071;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GAT;GAT(GA_check);1178;E_1(R_1);11780;500310.315604;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GAT_P;GAT_P(Greedy);1219;E_1(R_1);12190;5002.580476;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GAT_P;GAT_P(GA_count);1204;E_1(R_1);12040;500311.947333;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GAT_P;GAT_P(GA_check);1229;E_1(R_1);12290;500311.927286;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;TP;TP[E_1(R_1)];1163;E_1(R_1);11630;5000.235321;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;GAT;GAT(Greedy);1133;E_1(R_1);11330;5000.261183;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;GAT;GAT(GA_count);1133;E_1(R_1);11330;50012.853456;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;GAT;GAT(GA_check);1133;E_1(R_1);11330;50013.498842;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;GAT_P;GAT_P(Greedy);1133;E_1(R_1);11330;5000.261398;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;GAT_P;GAT_P(GA_count);1133;E_1(R_1);11330;50013.227506;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;GAT_P;GAT_P(GA_check);1133;E_1(R_1);11330;50013.276329;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-500.task;5000;21;35;10;312;1;500;TP;TP[E_1(R_1)];1148;E_1(R_1);11480;5000.254715;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GAT;GAT(Greedy);2537;E_1(R_1);50740;5000.122980;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GAT;GAT(GA_count);2523;E_1(R_1);50460;50046.130451;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GAT;GAT(GA_check);2521;E_1(R_1);50420;50046.464989;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GAT_P;GAT_P(Greedy);2576;E_1(R_1);51520;5000.058037;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GAT_P;GAT_P(GA_count);2515;E_1(R_1);50300;50028.091409;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GAT_P;GAT_P(GA_check);2515;E_1(R_1);50300;50027.314233;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;TP;TP[E_1(R_1)];2551;E_1(R_1);51020;5000.162152;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GAT;GAT(Greedy);1066;E_1(R_1);21320;5000.199672;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GAT;GAT(GA_count);1086;E_1(R_1);21720;500610.839991;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GAT;GAT(GA_check);1071;E_1(R_1);21420;500519.863698;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GAT_P;GAT_P(Greedy);1073;E_1(R_1);21460;5000.067174;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GAT_P;GAT_P(GA_count);1060;E_1(R_1);21200;50046.902712;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GAT_P;GAT_P(GA_check);1053;E_1(R_1);21060;50047.197313;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;TP;TP[E_1(R_1)];1091;E_1(R_1);21820;5000.117343;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GAT;GAT(Greedy);747;E_1(R_1);14940;5000.362225;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GAT;GAT(GA_count);758;E_1(R_1);15160;5001940.689347;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GAT;GAT(GA_check);741;E_1(R_1);14820;5001905.369988;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GAT_P;GAT_P(Greedy);702;E_1(R_1);14040;5000.329562;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GAT_P;GAT_P(GA_count);780;E_1(R_1);15600;5001791.311534;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GAT_P;GAT_P(GA_check);790;E_1(R_1);15800;5001763.097282;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;TP;TP[E_1(R_1)];741;E_1(R_1);14820;5000.076135;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GAT;GAT(Greedy);663;E_1(R_1);13260;5002.393150;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GAT;GAT(GA_count);686;E_1(R_1);13720;5001992.112579;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GAT;GAT(GA_check);685;E_1(R_1);13700;5001984.932266;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GAT_P;GAT_P(Greedy);702;E_1(R_1);14040;5002.626066;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GAT_P;GAT_P(GA_count);663;E_1(R_1);13260;5001914.902927;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GAT_P;GAT_P(GA_check);716;E_1(R_1);14320;5001958.120485;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;TP;TP[E_1(R_1)];659;E_1(R_1);13180;5000.130659;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT;GAT(Greedy);664;E_1(R_1);13280;5003.120188;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT;GAT(GA_count);689;E_1(R_1);13780;5001084.196936;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT;GAT(GA_check);649;E_1(R_1);12980;5001088.424566;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT_P;GAT_P(Greedy);684;E_1(R_1);13680;5003.424179;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT_P;GAT_P(GA_count);674;E_1(R_1);13480;5001109.646236;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GAT_P;GAT_P(GA_check);734;E_1(R_1);14680;5001088.308508;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;TP;TP[E_1(R_1)];646;E_1(R_1);12920;5000.212023;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT;GAT(Greedy);618;E_1(R_1);12360;5002.199667;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT;GAT(GA_count);640;E_1(R_1);12800;500602.809324;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT;GAT(GA_check);651;E_1(R_1);13020;500606.537940;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT_P;GAT_P(Greedy);763;E_1(R_1);15260;5002.320564;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT_P;GAT_P(GA_count);646;E_1(R_1);12920;500616.337218;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GAT_P;GAT_P(GA_check);675;E_1(R_1);13500;500610.098630;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;TP;TP[E_1(R_1)];647;E_1(R_1);12940;5000.226242;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT;GAT(Greedy);638;E_1(R_1);12760;5000.269137;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT;GAT(GA_count);638;E_1(R_1);12760;50028.932680;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT;GAT(GA_check);638;E_1(R_1);12760;50028.334956;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT_P;GAT_P(Greedy);638;E_1(R_1);12760;5000.271324;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT_P;GAT_P(GA_count);638;E_1(R_1);12760;50028.923232;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;GAT_P;GAT_P(GA_check);638;E_1(R_1);12760;50027.931219;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-500.task;5000;21;35;20;322;1;500;TP;TP[E_1(R_1)];622;E_1(R_1);12440;5000.264630;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT;GAT(Greedy);2538;E_1(R_1);76140;5000.120741;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT;GAT(GA_count);2517;E_1(R_1);75510;50075.349364;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT;GAT(GA_check);2529;E_1(R_1);75870;50069.870462;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT_P;GAT_P(Greedy);2555;E_1(R_1);76650;5000.065911;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT_P;GAT_P(GA_count);2515;E_1(R_1);75450;50047.988432;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT_P;GAT_P(GA_check);2520;E_1(R_1);75600;50046.542954;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;TP;TP[E_1(R_1)];2542;E_1(R_1);76260;5000.168024;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT;GAT(Greedy);1103;E_1(R_1);33090;5000.194670;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT;GAT(GA_count);1063;E_1(R_1);31890;500579.640600;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT;GAT(GA_check);1084;E_1(R_1);32520;500592.240796;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT_P;GAT_P(Greedy);1093;E_1(R_1);32790;5000.068045;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT_P;GAT_P(GA_count);1030;E_1(R_1);30900;50059.612423;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT_P;GAT_P(GA_check);1042;E_1(R_1);31260;50058.120021;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;TP;TP[E_1(R_1)];1092;E_1(R_1);32760;5000.182515;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT;GAT(Greedy);573;E_1(R_1);17190;5000.317126;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT;GAT(GA_count);628;E_1(R_1);18840;5001924.020672;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT;GAT(GA_check);627;E_1(R_1);18810;5001826.258504;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT_P;GAT_P(Greedy);577;E_1(R_1);17310;5000.103034;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT_P;GAT_P(GA_count);592;E_1(R_1);17760;500558.913691;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT_P;GAT_P(GA_check);607;E_1(R_1);18210;500455.824385;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;TP;TP[E_1(R_1)];599;E_1(R_1);17970;5000.121936;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT;GAT(Greedy);510;E_1(R_1);15300;5000.805261;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT;GAT(GA_count);545;E_1(R_1);16350;5002269.966719;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT;GAT(GA_check);499;E_1(R_1);14970;5002201.732690;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT_P;GAT_P(Greedy);527;E_1(R_1);15810;5001.081112;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT_P;GAT_P(GA_count);514;E_1(R_1);15420;5002263.173132;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT_P;GAT_P(GA_check);530;E_1(R_1);15900;5002081.152826;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;TP;TP[E_1(R_1)];538;E_1(R_1);16140;5000.126166;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT;GAT(Greedy);471;E_1(R_1);14130;5002.436635;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT;GAT(GA_count);479;E_1(R_1);14370;5001563.445968;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT;GAT(GA_check);468;E_1(R_1);14040;5001471.622564;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT_P;GAT_P(Greedy);495;E_1(R_1);14850;5002.680497;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT_P;GAT_P(GA_count);509;E_1(R_1);15270;5001510.608735;
